City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Albany,US,81.18,scattered clouds,42.6001,-73.9662,
6,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Gizo,SB,83.79,clear sky,-8.103,156.8419,Imagination Island
21,Hithadhoo,MV,81.86,overcast clouds,-0.6,73.0833,Scoop Guest House
26,Santa Cruz,BO,78.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
29,Port Moresby,PG,80.02,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
30,Katsuura,JP,81.18,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
34,Vilhena,BR,80.82,scattered clouds,-12.7406,-60.1458,Hotel Mirage
35,Manono,CD,77.29,broken clouds,-7.3,27.4167,Hotel hewa bora
38,Jamestown,US,80.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
43,Shenjiamen,CN,80.76,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
49,Merauke,ID,77.31,overcast clouds,-8.4667,140.3333,
50,Upata,VE,80.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
51,Silifke,TR,82.42,clear sky,36.3778,33.9344,Ayatekla Hotel
59,Quang Ngai,VN,80.11,broken clouds,15.1167,108.8,Central Hotel
60,Dovers,VC,80.19,clear sky,12.8833,-61.1833,Ocean Breeze
64,Rabaul,PG,82.98,clear sky,-4.1967,152.1721,Rabaul Hotel
66,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
67,Butaritari,KI,81.55,broken clouds,3.0707,172.7902,Isles Sunset Lodge
74,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
75,Booue,GA,75.56,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
79,Kutum,SD,79.47,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
84,Adra,ES,82.38,clear sky,36.7496,-3.0206,Hostal Zapata
85,North Bend,US,75.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
87,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
88,Jurado,CO,76.39,moderate rain,7.1053,-77.7641,
93,Salinopolis,BR,78.3,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
95,Coahuayana,MX,84.34,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
96,Kapit,MY,75.09,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
99,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
101,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
105,Itarema,BR,79.52,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
109,Ust-Maya,RU,79.3,overcast clouds,60.4167,134.5333,
112,Yumen,CN,77.32,clear sky,40.2833,97.2,
