City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Moa,CU,20.6569,-74.9403,82.87,78,82,12.73,broken clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,38,5.99,scattered clouds
2,Vanimo,PG,-2.6741,141.3028,81.05,77,54,4.41,broken clouds
3,Bredasdorp,ZA,-34.5322,20.0403,55.13,91,100,9.31,light rain
4,Uige,AO,-7.6087,15.0613,65.34,75,99,2.64,overcast clouds
5,Fairbanks,US,64.8378,-147.7164,61.09,66,75,9.22,broken clouds
6,East London,ZA,-33.0153,27.9116,66.42,50,29,11.68,scattered clouds
7,Meulaboh,ID,4.1363,96.1285,76.98,85,100,5.3,overcast clouds
8,Bowen,AU,-20.0167,148.2333,62.65,61,0,5.17,clear sky
9,Hanko,FI,59.8333,22.95,66.06,95,100,6.87,moderate rain
10,Albany,US,42.6001,-73.9662,88.21,56,46,4.65,scattered clouds
11,New Norfolk,AU,-42.7826,147.0587,50.92,85,100,2.35,overcast clouds
12,Yellowknife,CA,62.456,-114.3525,70.32,46,20,13.8,few clouds
13,Hermanus,ZA,-34.4187,19.2345,53.8,83,100,12.97,light rain
14,San Quintin,MX,30.4833,-115.95,73.31,65,93,15.97,overcast clouds
15,Leningradskiy,RU,69.3833,178.4167,37.99,83,89,9.06,overcast clouds
16,Kenai,US,60.5544,-151.2583,61.03,66,0,17.27,clear sky
17,Sorong,ID,-0.8833,131.25,77.02,87,88,9.95,overcast clouds
18,Saint-Philippe,RE,-21.3585,55.7679,64.22,84,47,14.32,light rain
19,Butaritari,KI,3.0707,172.7902,81.37,75,47,9.62,scattered clouds
20,Nishihara,JP,26.1842,127.7558,85.68,86,75,11.5,broken clouds
21,Sitka,US,57.0531,-135.33,55.29,82,100,9.22,light rain
22,Havre-Saint-Pierre,CA,50.2334,-63.5986,64.76,88,20,5.75,few clouds
23,Hefei,CN,31.8639,117.2808,78.82,89,40,15.66,scattered clouds
24,Beidao,CN,34.5686,105.8933,64.35,83,0,3.11,clear sky
25,Guantanamo,CU,20.1444,-75.2092,83.77,74,76,3.36,broken clouds
26,Rikitea,PF,-23.1203,-134.9692,72.09,75,100,9.84,overcast clouds
27,Pangnirtung,CA,66.1451,-65.7125,48.2,87,20,6.91,few clouds
28,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,17.27,clear sky
29,Kamina,CD,-8.7386,24.9906,63.97,47,31,3.42,scattered clouds
30,Teya,RU,60.3778,92.6267,56.98,97,94,3.74,overcast clouds
31,Ostrovnoy,RU,68.0531,39.5131,51.78,89,98,16.82,overcast clouds
32,Gushikawa,JP,26.3544,127.8686,85.62,84,75,9.22,broken clouds
33,Hilo,US,19.7297,-155.09,85.28,79,100,8.05,overcast clouds
34,Kosa,RU,59.9445,54.9977,52.92,73,72,3.76,broken clouds
35,Nara,JP,34.6851,135.8049,78.12,59,72,4.92,broken clouds
36,Busselton,AU,-33.65,115.3333,59.47,80,73,20.87,light rain
37,Ribeira Grande,PT,38.5167,-28.7,73.65,89,80,5.73,broken clouds
38,Pitimbu,BR,-7.4706,-34.8086,75.79,80,87,12.71,overcast clouds
39,Hithadhoo,MV,-0.6,73.0833,81.84,72,100,7.85,overcast clouds
40,Okhotsk,RU,59.3833,143.3,63.21,77,92,3.98,overcast clouds
41,Tuktoyaktuk,CA,69.4541,-133.0374,73.4,46,75,8.05,broken clouds
42,Faanui,PF,-16.4833,-151.75,78.19,73,20,9.51,few clouds
43,Ossora,RU,59.2353,163.0719,61.07,62,5,6.15,clear sky
44,Kapaa,US,22.0752,-159.319,84.52,67,0,12.66,clear sky
45,Chokurdakh,RU,70.6333,147.9167,52.86,49,99,13.67,overcast clouds
46,Georgetown,MY,5.4112,100.3354,78.89,97,20,3.44,few clouds
47,Nadym,RU,65.5333,72.5167,45.81,97,100,7.09,light rain
48,Kulachi,PK,31.9286,70.4592,88.57,61,57,4.32,broken clouds
49,Kapoeta,SS,4.7717,33.5903,82.18,39,91,14.45,overcast clouds
50,Mataura,NZ,-46.1927,168.8643,36.48,80,13,2.93,few clouds
51,Hobart,AU,-42.8794,147.3294,51.26,87,75,5.75,light rain
52,Verkhnyaya Inta,RU,65.9811,60.3094,40.51,91,78,8.34,broken clouds
53,Lebu,CL,-37.6167,-73.65,53.28,97,100,12.17,overcast clouds
54,Nueva Helvecia,UY,-34.3,-57.2333,56.59,92,3,7.63,clear sky
55,Surt,LY,31.2089,16.5887,78.53,61,0,6.96,clear sky
56,Haines Junction,CA,60.7522,-137.5108,58.95,44,86,5.75,overcast clouds
57,Ahipara,NZ,-35.1667,173.1667,57.09,70,100,12.03,overcast clouds
58,Amapa,BR,1.0,-52.0,71.87,96,100,1.52,overcast clouds
59,Savalou,BJ,7.9281,1.9756,72.41,95,100,7.7,overcast clouds
60,Onguday,RU,50.75,86.15,51.03,89,61,3.98,broken clouds
61,Iqaluit,CA,63.7506,-68.5145,47.93,87,75,4.61,broken clouds
62,Palmerston,AU,-12.486,130.9833,61.93,97,21,9.22,mist
63,Lasa,IT,46.6166,10.7002,72.48,81,90,3.36,overcast clouds
64,Hofn,IS,64.2539,-15.2082,51.94,91,58,6.38,broken clouds
65,Mahebourg,MU,-20.4081,57.7,66.49,100,75,10.36,broken clouds
66,Saskylakh,RU,71.9167,114.0833,53.08,59,92,7.65,overcast clouds
67,Pevek,RU,69.7008,170.3133,32.92,89,98,5.7,overcast clouds
68,Bethel,US,41.3712,-73.414,87.91,60,23,6.69,few clouds
69,Palana,RU,59.1167,159.9667,57.47,55,20,6.87,few clouds
70,Lompoc,US,34.6391,-120.4579,86.02,72,0,21.99,clear sky
71,Tuatapere,NZ,-46.1333,167.6833,42.1,84,13,4.0,few clouds
72,Sinjar,IQ,36.3209,41.8754,85.59,15,0,6.24,clear sky
73,Ushuaia,AR,-54.8,-68.3,35.26,93,100,21.85,light rain
74,Danilov,RU,58.1908,40.1717,60.03,83,43,4.68,scattered clouds
75,Dese,ET,11.1333,39.6333,59.67,77,67,2.77,light rain
76,Chuy,UY,-33.6971,-53.4616,54.43,98,92,4.88,overcast clouds
77,Saint George,US,37.1041,-113.5841,110.62,12,0,17.27,clear sky
78,Maceio,BR,-9.6658,-35.7353,74.64,94,100,5.75,overcast clouds
79,Barrow,US,71.2906,-156.7887,42.82,81,100,11.5,overcast clouds
80,Port Alfred,ZA,-33.5906,26.891,62.31,67,100,10.89,overcast clouds
81,Bluff,NZ,-46.6,168.3333,36.81,81,8,6.33,clear sky
82,Jamestown,US,42.097,-79.2353,82.04,47,0,13.8,clear sky
83,Kondinskoye,RU,59.6481,67.41,48.34,71,44,7.09,scattered clouds
84,Fortuna,US,40.5982,-124.1573,69.93,69,6,3.0,clear sky
85,Poum,NC,-20.2333,164.0167,76.57,84,98,20.45,overcast clouds
86,Kodiak,US,57.79,-152.4072,54.91,71,100,11.5,overcast clouds
87,Nikolskoye,RU,59.7035,30.7861,69.69,79,16,5.64,few clouds
88,Lavrentiya,RU,65.5833,-171.0,44.28,87,100,10.92,overcast clouds
89,Severo-Kurilsk,RU,50.6789,156.125,55.47,90,52,6.38,broken clouds
90,Hebi,CN,35.8992,114.1925,69.64,88,10,8.7,clear sky
91,Aviles,ES,43.5547,-5.9248,65.77,80,75,2.3,broken clouds
92,Manacor,ES,39.5696,3.2096,79.52,69,6,3.78,clear sky
93,Tasiilaq,GL,65.6145,-37.6368,37.56,73,34,7.94,scattered clouds
94,Leshukonskoye,RU,64.8989,45.7622,66.67,75,79,8.14,broken clouds
95,Clyde River,CA,70.4692,-68.5914,57.43,62,75,14.97,broken clouds
96,Puerto Escondido,MX,15.85,-97.0667,85.03,61,75,8.05,broken clouds
97,Katsuura,JP,35.1333,140.3,80.02,78,0,19.28,clear sky
98,Half Moon Bay,US,37.4636,-122.4286,91.89,76,0,19.57,haze
99,Souillac,MU,-20.5167,57.5167,66.58,100,75,10.36,light rain
100,Erenhot,CN,43.6475,111.9767,70.03,32,84,14.76,broken clouds
101,Coihaique,CL,-45.5752,-72.0662,24.75,86,40,4.61,scattered clouds
102,Klyuchevskiy,RU,53.5317,119.4519,68.09,73,38,4.45,scattered clouds
103,Carutapera,BR,-1.195,-46.02,77.36,86,55,6.51,broken clouds
104,Bud,US,39.447,-86.1758,91.89,53,33,2.26,scattered clouds
105,Kahului,US,20.8947,-156.47,87.82,60,20,21.85,few clouds
106,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,4.61,broken clouds
107,Ende,ID,-8.8432,121.6623,73.2,83,87,2.19,overcast clouds
108,Shvartsevskiy,RU,54.0961,37.9917,61.9,92,21,7.45,few clouds
109,Yulara,AU,-25.2406,130.9889,55.94,35,7,7.25,clear sky
110,Praxedis Guerrero,MX,31.3667,-106.0167,99.86,33,35,28.88,scattered clouds
111,Castro,BR,-24.7911,-50.0119,59.0,71,81,2.19,broken clouds
112,Ginir,ET,7.1333,40.7,58.32,70,90,8.41,overcast clouds
113,Santa Cruz,BO,-17.8,-63.1667,80.65,54,20,16.11,few clouds
114,Gat,IL,31.61,34.7642,77.68,100,1,1.61,clear sky
115,Port Elizabeth,ZA,-33.918,25.5701,58.32,80,0,9.22,clear sky
116,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,0,10.36,clear sky
117,Kijang,KR,35.2442,129.2139,76.73,84,25,5.12,scattered clouds
118,Tautira,PF,-17.7333,-149.15,75.83,78,19,8.52,few clouds
